id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,first-appearance,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,url
53,Atom II,88.0,10.0,33.0,45.0,40.0,60.0,Ray Palmer,No alter egos found.,"['The Mighty Mite', 'the Tiny Titan', ""the World's Smallest Hero""]",-,Showcase #34,DC Comics,good,Male,Human,"[""6'0"", '183 cm']","['180 lb', '81 kg']",Brown,Auburn,Physics Professor,Ivy Town,"Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)",https://www.superherodb.com/pictures2/portraits/10/100/938.jpg
54,Atom III,,,,,,,Adam Cray,No alter egos found.,['-'],-,Suicide Squad (Volume 1) #44,DC Comics,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,Red,-,-,Suicide Squad,"Senator Cray (father, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/939.jpg
55,Atom IV,,,,,,,Ryan Choi,No alter egos found.,['-'],-,Brave New World #1,DC Comics,good,Male,,"['-', '0 cm']","['160 lb', '72 kg']",Brown,Black,Professor of nuclear physics at Ivy University,Ivy Town,Lighter Than Air Society,Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg
56,Aurora,63.0,10.0,96.0,60.0,74.0,56.0,Jeanne-Marie Beaubier,No alter egos found.,['Sister Beaubier'],"Montreal, Quebec, Canada",X-Men #121 (1979),Marvel Comics,good,Female,Mutant,"[""5'11"", '180 cm']","['140 lb', '63 kg']",Blue,Black,"Adventurer; former terrorist, nun, history/geography teacher","Laval, Quebec, Canada","Alpha Flight, Alpha Flight (Space Program), Royal Canadian Mounted Police; formerly Weapon X, ally of the Havok's Brotherhood, Headbangers , Children of the Vault, X-Men (interim member)","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg
57,Azazel,50.0,11.0,47.0,95.0,100.0,80.0,,No alter egos found.,"['Semihazah', 'Duma', 'Keriel', 'Mastema', 'Beliar', 'Gadreel', 'Beelzebub', 'Satan']","Isla des Demonas, Caribbean Sea",Uncanny X-Men #428 (2003),Marvel Comics,bad,Male,Neyaphem,"[""6'0"", '183 cm']","['149 lb', '67 kg']",Yellow,Black,Leader of the Neyaphem,"Brimstone Dimension; formerly La Isla des Demonas, Bermuda",-,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg
58,Azrael,63.0,18.0,17.0,20.0,35.0,80.0,Michael Washington Lane,No alter egos found.,['Bat-Devil; Bat-Ghost'],Gotham City,"Batman #672 (February, 2008)",DC Comics,good,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",Brown,Black,"Former Police Officer, vigilante",-,Order of St. Dumas; formerly Gotham City Police Department; Three Ghosts of Batman,"Mitchell Lane (father; deceased), Barbara Lane (mother; deceased), Marion Lane (brother; deceased), Gwendolyn Lane (sister; deceased), Chante Coles (wife; deceased), Henry Mitchell Lane (son; deceased), Jenny Lane (Sister-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg
59,Aztar,,98.0,,,,,Aztar,Spectre,['Spirit of Vengeance'],-,More Fun Comics #52 (February 1940),Spectre,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,The Presence,-,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg
60,Bane,88.0,38.0,23.0,56.0,51.0,95.0,,No alter egos found.,['-'],-,"Batman: Vengeance of Bane #1 (January, 1993)",DC Comics,bad,Male,Human,"[""6'8"", '203 cm']","['400 lb', '180 kg']",-,-,-,Santa Prisca,"Suicide Squad, The Secret Society of Super Villains",King Snake (father),https://www.superherodb.com/pictures2/portraits/10/100/637.jpg
61,Banshee,50.0,10.0,58.0,40.0,63.0,70.0,Sean Cassidy,No alter egos found.,['Death'],"Cassidy Keep, Ireland","X-Men #28 (January, 1967)",Marvel Comics,good,Male,Human,"[""6'0"", '183 cm']","['170 lb', '77 kg']",Green,Strawberry Blond,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor","Muir Island, off the coast of Scotland. formerly Massachusetts Academy; Xavier Institute","Currently X-Corps, formerly Generation X, Factor Three, X-Men","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)",https://www.superherodb.com/pictures2/portraits/10/100/26.jpg
62,Bantam,25.0,53.0,23.0,54.0,21.0,56.0,Roberto Velasquez,No alter egos found.,['-'],-,"Civil War: Front Line #3 (September, 2006)",Marvel Comics,good,Male,,"[""5'5"", '165 cm']","['119 lb', '54 kg']",Brown,Black,"Adventurer, boxing trainer, former boxer",-,"Captain America, Pro-Registration forces",-,https://www.superherodb.com/pictures2/portraits/10/100/229.jpg
63,Batgirl,88.0,11.0,33.0,40.0,34.0,90.0,Barbara Gordon,Oracle,"['Oracle', 'Bluebelle']",-,Detective Comics #359,Oracle,good,Female,Human,"[""5'7"", '170 cm']","['126 lb', '57 kg']",Green,Red,-,"Gotham City, formerly Metropolis, Platinum Flats",-,"James Gordon (father), Barbara Eileen (mother), James Gordon, Jr. (brother)",https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg
64,Batgirl,,27.0,,,,,Mary Elizabeth Kane,Hawkfire,"['Bette Kane', 'Bat-Girl']",-,Batman #139,Hawkfire,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,Crime-fighter,Gotham City,Former associated partner of Batman and Robin of Earth-One; Partner of Katherine Kane,"Katherine Kane (Batwoman I,  Aunt)",https://www.superherodb.com/pictures2/portraits/10/100/638.jpg
65,Batgirl III,,43.0,,,,,Helena Rosa Bertinelli,Huntress,['-'],-,-,Huntress,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg
66,Batgirl IV,69.0,12.0,27.0,56.0,46.0,100.0,Cassandra Cain,No alter egos found.,"['Kasumi', 'various mundane persona,']",League of Assassins (exact base is unknown),Batman: Legends of the Dark Knight #120,DC Comics,good,Female,Human,"[""5'5"", '165 cm']","['115 lb', '52 kg']",Green,Black,-,Gotham City; Bl�dhaven; Tibet; New York City,"Titans East, League of Assassins, Batman Family, Justice League Elite, Young Justice","David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)",https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg
67,Batgirl V,,,,,,,Charlotte Gage-Radcliffe,Misfit,['-'],-,-,Misfit,good,Female,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg
68,Batgirl VI,75.0,10.0,23.0,28.0,22.0,80.0,Stephanie Brown,Spoiler,"['Steph', 'Robin', 'Marion Todd', 'Spoiler']",-,Detective Comics #647. As Batgirl in Batgirl (Volume 3) #1. (2009),Spoiler,good,Female,,"[""5'6"", '168 cm']","['135 lb', '61 kg']",Blue,Blond,College student at Gotham University,"Gotham Heights, Gotham City","The Batman Family, formerly the Birds of Prey, Tim Drake (on-and-off boyfriend)","Arthur Brown (The Cluemaster, father), Crystal Brown (mother), unnamed daughter (given up for adoption)",https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg
69,Batman,81.0,40.0,29.0,55.0,63.0,90.0,Terry McGinnis,No alter egos found.,"['Batman II', 'The Tomorrow Knight', 'The second Dark Knight', 'The Dark Knight of Tomorrow', 'Batman Beyond']","Gotham City, 25th Century",Batman Beyond #1,DC Comics,good,Male,Human,"[""5'10"", '178 cm']","['170 lb', '77 kg']",Blue,Black,-,21st Century Gotham City,"Batman Family, Justice League Unlimited","Bruce Wayne (biological father), Warren McGinnis (father, deceased), Mary McGinnis (mother), Matt McGinnis (brother)",https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg
70,Batman,100.0,26.0,27.0,50.0,47.0,100.0,Bruce Wayne,No alter egos found.,"['Insider', 'Matches Malone']","Crest Hill, Bristol Township; Gotham County",Detective Comics #27,DC Comics,good,Male,Human,"[""6'2"", '188 cm']","['210 lb', '95 kg']",blue,black,Businessman,"Batcave, Stately Wayne Manor, Gotham City; Hall of Justice, Justice League Watchtower","Batman Family, Batman Incorporated, Justice League, Outsiders, Wayne Enterprises, Club of Heroes, formerly White Lantern Corps, Sinestro Corps","Damian Wayne (son), Dick Grayson (adopted son), Tim Drake (adopted son), Jason Todd (adopted son), Cassandra Cain (adopted ward),
Martha Wayne (mother, deceased), Thomas Wayne (father, deceased), Alfred Pennyworth (former guardian), Roderick Kane (grandfather, deceased), Elizabeth Kane (grandmother, deceased), Nathan Kane (uncle, deceased), Simon Hurt (ancestor), Wayne Family",https://www.superherodb.com/pictures2/portraits/10/100/639.jpg
71,Batman II,88.0,11.0,33.0,28.0,36.0,100.0,Dick Grayson,"Nightwing, Robin",['Dick Grayson'],-,-,Nightwing,good,Male,Human,"[""5'10"", '178 cm']","['175 lb', '79 kg']",Blue,Black,-,"Gotham City; formerly Bludhaven, New York City","Justice League Of America, Batman Family","John Grayson (father, deceased), Mary Grayson (mother, deceased), Bruce Wayne / Batman (adoptive father), Damian Wayne / Robin (foster brother), Jason Todd / Red Hood (adoptive brother), Tim Drake / Red Robin (adoptive brother), Cassandra Cain / Batgirl IV (adoptive sister)",https://www.superherodb.com/pictures2/portraits/10/100/1496.jpg
72,Battlestar,50.0,53.0,35.0,74.0,48.0,74.0,Lemar Hoskins,No alter egos found.,['Bucky'],"Chicago, Illinois",Captain America #323 (1986); (as Bucky),Marvel Comics,good,Male,,"[""6'6"", '198 cm']","['295 lb', '133 kg']",Brown,Black,"Former wrestler, federal operative",-,"Formerly Wild Pack, Bold Urban Commandos (Buckies), former partner of U.S.Agent, operative of the Commission on Superhuman Activities",-,https://www.superherodb.com/pictures2/portraits/10/100/231.jpg
73,Batwoman V,81.0,8.0,29.0,25.0,27.0,80.0,Katherine Rebecca Kane,No alter egos found.,['-'],-,"52 #7 (June, 2006)",DC Comics,good,Female,Human,"[""5'10"", '178 cm']","['- lb', '0 kg']",Green,Red,-,Gotham City,"Batman Family (unofficially), D.E.O, Unknowns","Jacob Kane (father), Gabi Kane (mother; deceased), Beth Kane (twin sister), Mary Elizabeth ""Bette"" Kane (cousin), Catherine Hamilton-Kane (stepmother), Philip Kane (uncle), Kane Family",https://www.superherodb.com/pictures2/portraits/10/100/10234.jpg
74,Beak,,,,,,,Barnell Bohusk,No alter egos found.,['Blackwing'],"Cheverly, Maryland",-,Marvel Comics,good,Male,,"[""5'9"", '175 cm']","['140 lb', '63 kg']",Black,White,-,-,"Formerly New Warriors, Exiles, Brotherhood Of Mutants, Xavier Institute Student Body","Charles (father), Kathy (mother), Angel Salvadore (wife), Tito (son), Axel (son), Kara (daughter), three unidentified children",https://www.superherodb.com/pictures2/portraits/10/100/232.jpg
75,Beast,94.0,48.0,38.0,60.0,43.0,85.0,Henry Philip McCoy,No alter egos found.,"['Dr. McCoy', 'Hanko', 'Kreature', 'Mutate #666', 'Magilla Gorilla', 'Golden Armed Boy']","Dunfee, Illinois","X-MEN Vol. 1 #1, (in furry ape form) AMAZING ADVENTURES #11, (in current feline form) NEW X-MEN Vol. 1 #114",Marvel Comics,good,Male,Mutant,"[""5'11"", '180 cm']","['402 lb', '181 kg']",Blue,Blue,"Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler","Xavier Institute, Salem Center, Westchester County, New York","Secret Avengers, S.W.O.R.D.; formerly X-Men (founding member); X-Club (founding member); Initiative; 198; X-Treme X-Men; Acolytes (while mind-controlled); Queen's Vengeance; X-Factor/X-Terminators (founding member); Rejects; Defenders, Avengers","Sadie McCoy (paternal grandmother), Norton McCoy (father), Edna McCoy (mother), Robert McCoy (paternal great-uncle), John McCoy (uncle)",https://www.superherodb.com/pictures2/portraits/10/100/27.jpg
76,Beast Boy,50.0,28.0,50.0,70.0,79.0,40.0,Garfield Mark Logan,No alter egos found.,"['Changeling', 'Beast-Brat', 'Green Jeans', 'Salad-head', 'Sprout', 'Tork', 'Craig Logan']",-,"Doom Patrol #99 (November, 1965)",DC Comics,good,Male,Human,"[""5'8"", '173 cm']","['150 lb', '68 kg']",Green,Green,"Adventurer, Struggling Actor","Prague; formerly Hollywood, California; formerly Manhattan, New York","Teen Titans; former member of the original Doom Patrol, Titans West","Mark Logan (father, deceased), Marie Logan (mother, deceased), Steve Dayton/Mento (adoptive father), Rita Farr/Elasti-Girl (adoptive mother), Matt Logan (cousin)",https://www.superherodb.com/pictures2/portraits/10/100/640.jpg
77,Beetle,,54.0,,,,,,No alter egos found.,['-'],-,-,Marvel Comics,bad,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1122.jpg
78,Ben 10,10.0,7.0,8.0,10.0,90.0,40.0,Benjamin Kirby Tennyson,No alter egos found.,['Ben Ten'],-,Ben 10 S01E01,DC Comics,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1365.jpg
79,Beta Ray Bill,63.0,80.0,35.0,95.0,100.0,84.0,Beta Ray Bill (translation of his Korbinite name),No alter egos found.,"['Beta Ray Thor', 'Simon Walters']",Burning Galaxy,Thor #337,Marvel Comics,good,Male,,"[""6'7"", '201 cm']","['480 lb', '216 kg']",-,No Hair,Guardian of the Korbinite race,"currently New York City, formerly Asgard, formerly the fleet of Korbinite ships.","ally of the Asgardians, Thor Corps, Star Masters",-,https://www.superherodb.com/pictures2/portraits/10/100/28.jpg
80,Beyonder,100.0,100.0,100.0,100.0,100.0,84.0,,No alter egos found.,"['Ataxi', 'The Beyond Realm', 'Frank', 'Goblin Force', 'Goblin King', 'Goblyn King', 'Goblin Queen', 'The One From Beyond', 'God', 'Kosmos', 'Maker']",Created in the Beyond,Marvel Super-Heroes Secret Wars #1,Marvel Comics,good,Male,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",-,-,Former student,-,Was once in a merged form with the Molecule Man but is no longer merged with him.,-,https://www.superherodb.com/pictures2/portraits/10/100/1293.jpg
81,Big Barda,88.0,100.0,79.0,100.0,100.0,100.0,Barda Free,No alter egos found.,"['Barda', 'the Strongest Woman in the World']",-,Mister Miracle (Volume 1) #4,DC Comics,bad,Female,New God,"[""6'2"", '188 cm']","['300 lb', '135 kg']",Blue,Black,-,"Gotham City, New Genesis, formerly Apokolips","Apocalypse, New Gods, Birds of Prey, formerly Female Furies, formerly Justice League of America","Big Breeda (mother), Scott Free (Mister Miricle, husband), Highfather Izaya (father-in-law, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1169.jpg
82,Big Daddy,38.0,10.0,12.0,32.0,22.0,64.0,Damon Macready,No alter egos found.,['-'],-,Kick-Ass #4,Icon Comics,good,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,Hit-Girl (daughter),https://www.superherodb.com/pictures2/portraits/10/100/1338.jpg
83,Big Man,75.0,12.0,23.0,28.0,19.0,70.0,Frederick Foswell,No alter egos found.,['Patch'],-,Amazing Spider-Man # 10 (1964),Marvel Comics,bad,Male,,"[""5'5"", '165 cm']","['157 lb', '71 kg']",Blue,Brown,"Reporter, professional criminal",-,"Daily Bugle, the Enforcers","Janice Foswell (daughter), unnamed wife",https://www.superherodb.com/pictures2/portraits/10/100/1038.jpg
84,Bill Harken,63.0,36.0,33.0,60.0,27.0,40.0,,No alter egos found.,['-'],-,-,SyFy,good,Male,Alpha,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,Alphas,-,https://www.superherodb.com/pictures2/portraits/10/100/1527.jpg
85,Billy Kincaid,,,,,,,Billy Kincaid,No alter egos found.,['-'],-,Spawn #5 (October 1992),Image Comics,bad,Male,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1072.jpg
86,Binary,,,,,,,Carol Danvers,"Captain Marvel, Warbird","['Ms. Marvel', 'Binary']","Boston, Massachusetts","(as Carol Danvers) MARVEL SUPER HEROES #13, (as Ms. Marvel) MS. MARVEL #1, (as Binary) X-MEN # 164, AVENGERS Vol. 3, # 4",Captain Marvel,good,Female,,"[""5'11"", '180 cm']","['120 lb', '54 kg']",Blue,Blond,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",Avengers Mansion,"currently Avengers, former companion to the X-Men (as Carol Danvers), former member of the Starjammers (as Binary), Former Avenger (as Ms. Marvel)","Joseph (father), Marie (mother), Steve (brother, deceased),",https://www.superherodb.com/pictures2/portraits/10/100/30.jpg
87,Bionic Woman,56.0,37.0,33.0,40.0,20.0,40.0,Jamie Sommers,No alter egos found.,['Clarissa Whyte'],-,-,,good,Female,Cyborg,"['-', '0 cm']","['- lb', '0 kg']",Blue,Black,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10648.jpg
88,Bird-Brain,25.0,10.0,35.0,28.0,21.0,42.0,,No alter egos found.,['Bird-Boy'],-,"The New Mutants #56 (October, 1987)",Marvel Comics,good,-,,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,"New Mutants, Ani-Mate",-,https://www.superherodb.com/pictures2/portraits/10/100/240.jpg
89,Bird-Man,,,,,,,Henry Hawk,No alter egos found.,['-'],-,"Daredevil #10 (October, 1965)",Marvel Comics,bad,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,Ani-Men,-,https://www.superherodb.com/pictures2/portraits/10/100/1503.jpg
90,Bird-Man II,,,,,,,Achille DiBacco,No alter egos found.,['-'],"The Bar with No Name, Medina County, Ohio","Daredevil #157 (March, 1979)",Marvel Comics,bad,Male,Human,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,Ani-Men,-,https://www.superherodb.com/pictures2/portraits/10/100/1504.jpg
91,Birdman,,35.0,,,,,Ray Randal,No alter egos found.,"['Bird-Man', 'Harvey Birdman', 'Ray Randal', 'Harvey Birdman Attorney at Law', 'Harry', 'Henry', 'Birdbath', 'Bootyliciuos']",-,Birdman and the Galaxy Trio (1967),Hanna-Barbera,good,Male,God / Eternal,"['-', '0 cm']","['- lb', '0 kg']",-,-,-,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1506.jpg
92,Bishop,63.0,14.0,23.0,75.0,100.0,65.0,Lucas Bishop,No alter egos found.,['Archbishop'],A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth,"Uncanny X-Men #282 (November, 1991)",Marvel Comics,good,Male,Mutant,"[""6'6"", '198 cm']","['275 lb', '124 kg']",Brown,No Hair,"(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)","Formerly Xavier Institute for Higher Learning, Salem Center, Westchester County, New York","""Clean City""; formerly Stryfe; X-Men; X.S.E. (Storm's team); X-Treme X-Men; X.S.E. (Hecate'e's team); The Twelve","Burnum Bishop (father, deceased), Kadee Bishop (mother, deceased), Shard (sister, deceased), unnamed grandmother, Gateway (great-grandfather), Aliyah Bishop (alternate reality daughter);",https://www.superherodb.com/pictures2/portraits/10/100/31.jpg
93,Bizarro,38.0,95.0,100.0,100.0,100.0,85.0,Bizarro,No alter egos found.,['-'],-,Superboy Vol. 1 #68 (1958),DC Comics,neutral,Male,Bizarro,"[""6'3"", '191 cm']","['345 lb', '155 kg']",Black,Black,-,Bizarro World,Superman Revenge Squad; Bizarros of Bizarro World; former associate of the Secret Society of Super-Villains; Joker League of Anarchy; former partner of Batzarro,"Bizarro-Lois No. 1 (wife, Pre-Crisis only), Bizarro, Jr. (son, Pre-Crisis only), Bizarro-Lois, Jr. (daughter, Pre-Crisis only)",https://www.superherodb.com/pictures2/portraits/10/100/642.jpg
